0235|021|L01|2025-06-02|2025-06-01|Vencido
0123|021|L01|2025-06-02|2025-07-2|Devuelto
P002|401|L02|2025-06-02|2025-06-10|Devuelto
P003|021|L02|2025-06-02|2025-06-20|Devuelto
P004|021|L02|2025-06-02|2025-06-20|Devuelto
0225|301|L01|2025-06-03|2025-06-04|Vencido
095|301|R01|2025-06-06|2025-06-05|Vencido
097|301|R01|2025-06-06|2025-06-07|Devuelto
0222|301|L01|2025-06-06|2025-06-07|Devuelto
0226|301|L01|2025-06-06|2025-06-07|Prestado
0223|301|R01|2025-06-07|2025-06-12|Prestado
555|301|E01|2025-06-07|2025-05-05|Prestado
